year,owner,salvage_area,total_area,salvage_rate
1986,All,1144.228304,14451.76815,7.917566157
1987,All,21252.38414,146815.7418,14.47554865
1988,All,4256.712056,41553.67289,10.24388883
1989,All,2525.419512,30282.2237,8.339610515
1990,All,5971.060342,51115.17968,11.68157948
1991,All,85.560411,559.0187611,15.30546324
1992,All,14555.05866,56991.00724,25.53921989
1993,All,0,0,0
1994,All,4630.337654,33700.01047,13.73987007
1995,All,120.3524824,1033.547735,11.64459834
1996,All,3175.288575,46941.4723,6.764356591
1997,All,12.23446752,562.6273162,2.174524266
1998,All,500.8320582,4801.668643,10.43037526
1999,All,1843.322431,36900.0596,4.995445674
2000,All,2280.295828,39406.63631,5.786578205
2001,All,4626.957044,64366.92338,7.18840796
2002,All,7244.001717,152861.9563,4.738917316
2003,All,958.781647,18645.90523,5.14204934
2004,All,2570.616183,33498.35723,7.673857454
2005,All,1808.039128,22967.34755,7.872215651
2006,All,2755.063445,64814.9556,4.250660082
2007,All,8146.466432,108879.1652,7.482116913
2008,All,9765.972735,213100.6089,4.582799076
2009,All,2564.99398,36032.70754,7.118515801
2010,All,357.4660672,14626.6035,2.443944469
2011,All,1544.311711,15652.37031,9.866312135
2012,All,14674.5807,151135.8125,9.709532416
2013,All,15591.67793,165341.6665,9.429975067
2014,All,16755.89393,181380.0624,9.238002074
2015,All,13217.47427,246202.1627,5.368545151
2016,All,2853.85702,46097.59116,6.190902709
2017,All,9914.582954,190807.613,5.196114976
1986,Federal,894.2976221,10579.0561,8.453472726
1987,Federal,18067.46916,123509.98,14.62834757
1988,Federal,1800.718964,21994.37928,8.187177919
1989,Federal,1735.395504,24856.68594,6.9816045
1990,Federal,4672.20082,39241.40573,11.90630339
1991,Federal,77.24266719,456.0610467,16.93691398
1992,Federal,4121.703307,22072.77865,18.6732417
1993,Federal,0,0,0
1994,Federal,2969.070886,25511.24193,11.63828438
1995,Federal,44.68248107,231.3727011,19.31190709
1996,Federal,1660.536084,34105.05114,4.868886069
1997,Federal,4.417525962,295.1827414,1.496539378
1998,Federal,174.819505,1009.907374,17.3104494
1999,Federal,654.1000168,22696.64668,2.881923599
2000,Federal,722.1302473,26322.48933,2.743396486
2001,Federal,1986.041832,47116.12884,4.215205878
2002,Federal,4234.0345,133718.8383,3.166370986
2003,Federal,858.9951198,17680.47408,4.858439405
2004,Federal,1117.466847,23476.21054,4.759996699
2005,Federal,608.4030066,14539.50958,4.184480936
2006,Federal,1734.606059,58312.06648,2.974694886
2007,Federal,2402.002017,84945.3031,2.827704333
2008,Federal,2702.77539,154207.5982,1.752686263
2009,Federal,1414.977397,29179.00807,4.849299172
2010,Federal,146.4442098,10572.79761,1.385103689
2011,Federal,400.841534,4373.617057,9.164989271
2012,Federal,4210.000533,108042.7674,3.896605606
2013,Federal,5843.063933,126288.7973,4.626747626
2014,Federal,4419.186841,112630.0364,3.923630839
2015,Federal,4531.286933,159700.9496,2.837357538
2016,Federal,1309.241268,37723.94938,3.470583778
2017,Federal,4380.022739,159553.2987,2.74517843
1986,other,1.524802588,98.18109785,1.553051067
1987,other,96.36006189,530.5253337,18.16314053
1988,other,75.00852017,1213.772159,6.179785851
1989,other,0,253.1856106,0
1990,other,7.52805357,291.0006902,2.586953854
1991,other,0.967757782,8.817358508,10.97559752
1992,other,20.66927202,449.5286109,4.597988097
1993,other,0,0,0
1994,other,109.5277046,731.9198437,14.96443983
1995,other,0,7.517214075,0
1996,other,10.95801099,277.8556551,3.943778287
1997,other,0,0,0
1998,other,5.994490735,125.2390577,4.786438706
1999,other,39.43228871,838.6151185,4.702072243
2000,other,453.4982836,6051.04098,7.494549865
2001,other,472.3861941,2749.262164,17.18228986
2002,other,37.11623516,575.7923816,6.446114319
2003,other,99.62154221,531.8140888,18.73239997
2004,other,62.53183676,640.9688907,9.755830223
2005,other,65.86046953,409.3753722,16.088039
2006,other,12.45157529,370.9401724,3.356761067
2007,other,96.76767247,4622.233847,2.09352611
2008,other,10.41658275,1904.050231,0.547074997
2009,other,144.20118,2285.095362,6.310510381
2010,other,30.28758329,296.002355,10.23221024
2011,other,2.808937747,75.4866397,3.721105825
2012,other,14.63133259,1963.527891,0.745155323
2013,other,285.330154,4703.151077,6.066786911
2014,other,1128.072151,12556.61225,8.983889357
2015,other,610.158601,12151.81577,5.0211311
2016,other,0.342480786,212.4351332,0.161216641
2017,other,113.0931451,1127.547705,10.03000977
1986,Private,248.4058797,3774.530955,6.581105908
1987,Private,3088.554918,22775.23656,13.56102234
1988,Private,2380.984572,18345.52145,12.97856035
1989,Private,790.0240079,5172.35215,15.27397952
1990,Private,1291.331468,11582.77326,11.1487244
1991,Private,7.349986026,94.14035591,7.807476353
1992,Private,10412.68608,34468.69998,30.2091059
1993,Private,0,0,0
1994,Private,1551.739063,7456.848699,20.80958225
1995,Private,75.67000134,794.65782,9.52233772
1996,Private,1503.79448,12558.5655,11.97425359
1997,Private,7.816941556,267.4445748,2.922826743
1998,Private,320.0180624,3666.522212,8.728109199
1999,Private,1149.790125,13364.7978,8.603123987
2000,Private,1104.667297,7033.105995,15.70667779
2001,Private,2168.529018,14501.53238,14.9537922
2002,Private,2972.850981,18567.32557,16.0111965
2003,Private,0.16498497,433.6170613,0.038048542
2004,Private,1390.6175,9381.177804,14.82348516
2005,Private,1133.775652,8018.462595,14.13956402
2006,Private,1008.00581,6131.948943,16.43858779
2007,Private,5647.696743,19311.62822,29.24505733
2008,Private,7052.780763,56988.9605,12.37569645
2009,Private,1005.815403,4568.604111,22.01581443
2010,Private,180.734274,3757.803528,4.809572206
2011,Private,1140.66124,11203.26661,10.1815058
2012,Private,10449.94884,41129.51712,25.40741922
2013,Private,9463.28384,34349.71808,27.54981516
2014,Private,11208.63493,56193.4138,19.94652785
2015,Private,8076.028736,74349.3973,10.86226524
2016,Private,1544.273271,8161.206642,18.92211947
2017,Private,5421.46707,30126.7666,17.99551589
