,X,year,owner,severity,salvage_area,total_area,salvage_rate,lsalvage_area,ltotal_area,step2005,step2004,step2003,step2002,step2001,step2000,step1999,step1998,step1997,step1996,step1995,step1994,step1993,step1992,step1991,trend1991,trend1992,trend1993,trend1994,trend1995,trend1996,trend1997,trend1998,trend1999,trend2000,trend2001,trend2002,trend2003,trend2004,trend2005,ptrend1994,ptrend1995,ptrend1996,ptrend1997,ptrend1998,ptrend1999,ptrend2000,ptrend2001,ptrend2002,ptrend2003,ptrend2004,ptrend2005,indzero.rate,indzero.total,indzero.salvage,pa1986,pa1987,pa1988,pa1989,pa1990,pa1991,pa1992,pa1993,pa1994,pa1995,pa1996,pa1997,pa1998,pa2000,pa2001,pa2003,pa2004,pa2005,pa2006,pa2009,pa2010,pa2011,pa2016
1,15,1986,Federal,High,496.7675995,3343.719959,14.85673458,1.863095072,3.298837407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,1986,Federal,Low,38.45743087,816.7631683,4.708516785,1.797364404,3.063778658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,1986,Federal,Moderate,281.604436,4003.836302,7.033365372,2.537642855,3.564734323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18,1986,Federal,Very low,77.46815564,2414.73667,3.208140937,2.107544859,2.847388308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,31,1987,Federal,High,9533.488156,43065.50535,22.13717935,3.027005877,4.392895373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,32,1987,Federal,Low,866.0915726,9943.064806,8.710509179,3.117038834,4.256722635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,33,1987,Federal,Moderate,5959.186658,38786.12879,15.36422129,4.027145153,4.81772641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,34,1987,Federal,Very low,1638.349962,30471.66019,5.376635049,3.440058942,4.284019061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,47,1988,Federal,High,715.3333169,8097.481787,8.83402193,2.340786454,3.574066621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,48,1988,Federal,Low,132.7165188,1538.99788,8.623567355,2.21419599,3.466044157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
