year,owner,severity,harvest_area,analysis_area
1986,blm,Very low,0.9509194091796873,155.7977466563505
1986,blm,Low,0.2501941772460937,47.33286682578891
1986,blm,Moderate,3.622188787841797,295.794436662095
1986,blm,High,17.84517798461914,219.07598309409946
1986,nonfed_public,Very low,0.0,6.000079071044922
1986,nonfed_public,Low,0.0,3.562622204589844
1986,nonfed_public,Moderate,0.0,42.8781230041504
1986,nonfed_public,High,1.524802587890625,45.740273565673824
1986,other_fed,Very low,0.0,0.0
1986,other_fed,Low,0.0,0.0
1986,other_fed,Moderate,0.0,0.0
1986,other_fed,High,0.0,0.0
1986,private,Very low,19.121075095430264,553.2509811160819
1986,private,Low,8.428023129404107,203.13263152824854
1986,private,Moderate,47.48822782063802,1381.0485994305777
1986,private,High,173.3685536302993,1637.0987427459359
1986,tribal,Very low,0.0,0.0
1986,tribal,Low,0.0,0.0
1986,tribal,Moderate,0.0,0.0
1986,tribal,High,0.0,0.0
1986,usfs,Very low,76.51723623484892,2258.938923517492
1986,usfs,Low,38.20723669368969,769.4303015148447
1986,usfs,Moderate,277.98224723805146,3708.0418652880135
1986,usfs,High,478.92242152709963,3124.6439761763513
1987,blm,Very low,477.00698541841405,7737.475080941069
1987,blm,Low,195.5259534714882,2220.092414768114
1987,blm,Moderate,937.5490310616049,5929.686176169338
1987,blm,High,808.1206669682762,3620.903930685724
1987,nonfed_public,Very low,21.753802069355086,69.27310088436352
1987,nonfed_public,Low,9.691687287214693,38.68213155333276
1987,nonfed_public,Moderate,31.27450212158203,178.35964592799766
1987,nonfed_public,High,33.64007041015625,244.1092396659103
1987,other_fed,Very low,0.0,0.0
1987,other_fed,Low,0.0,0.0
1987,other_fed,Moderate,0.0,0.0
1987,other_fed,High,0.0,0.0
1987,private,Very low,335.62413685513366,4679.929733466343
1987,private,Low,164.08425742651846,1833.261263128638
1987,private,Moderate,950.0928387230249,7557.246184906198
1987,private,High,1629.2113537367638,8471.920581338823
1987,tribal,Very low,3.31837500406901,282.47156082201195
1987,tribal,Low,1.5161253295898438,170.4480013741527
1987,tribal,Moderate,26.118183137494263,465.3705371106435
1987,tribal,High,45.41988155089136,520.9892639534505
1987,usfs,Very low,1161.3429764241537,22734.1851120868
1987,usfs,Low,670.5656191060624,7722.972391225275
1987,usfs,Moderate,5021.637627369552,32856.44261202478
1987,usfs,High,8725.367489440321,39444.60141576565
1988,blm,Very low,8.720168423880784,231.91021074233117
1988,blm,Low,8.115463996199065,83.1751988817402
1988,blm,Moderate,66.73241426853555,426.5387003268373
1988,blm,High,97.65806174878888,819.6563030338543
1988,nonfed_public,Very low,14.609002860227099,239.23320911463122
1988,nonfed_public,Low,2.338911248779297,117.52219788933247
1988,nonfed_public,Moderate,30.803170672607425,540.9597548341039
1988,nonfed_public,High,27.257435388183595,316.05699746778305
1988,other_fed,Very low,0.0,0.0
1988,other_fed,Low,0.0,0.0
1988,other_fed,Moderate,0.0,0.0
1988,other_fed,High,0.0,0.0
1988,private,Very low,223.44428478173353,3367.7052705945503
1988,private,Low,113.77001166207108,1308.0091505823234
1988,private,Moderate,760.4761913749426,7307.807525489215
1988,private,High,1282.4644817203537,6360.595452666087
1988,tribal,Very low,0.0,0.0
1988,tribal,Low,0.0,0.0
1988,tribal,Moderate,0.1276302978515625,0.446776123046875
1988,tribal,High,0.7019716735839844,0.957270556640625
1988,usfs,Very low,373.49539241328233,3470.429913227014
1988,usfs,Low,124.60105477057962,1455.822681004926
1988,usfs,Moderate,503.6963702612305,8222.747998524435
1988,usfs,High,617.6752551014621,7277.825484037703
1989,blm,Very low,1.1758643218156402,764.9411449074655
1989,blm,Low,0.9828829467773438,85.54490533480775
1989,blm,Moderate,5.174718865942862,380.4949469914934
1989,blm,High,54.88141185302735,676.0587382665537
1989,nonfed_public,Very low,0.0,136.23702378255206
1989,nonfed_public,Low,0.0,14.2215565100337
1989,nonfed_public,Moderate,0.0,78.05069690968233
1989,nonfed_public,High,0.0,24.676333399011952
1989,other_fed,Very low,0.0,0.0
1989,other_fed,Low,0.0,0.0
1989,other_fed,Moderate,0.0,0.0
1989,other_fed,High,0.0,0.0
1989,private,Very low,50.20939422925762,1121.3944933356074
1989,private,Low,22.41404173528933,255.85504158677043
1989,private,Moderate,146.76053238731237,1409.511074534912
1989,private,High,570.6400395189712,2351.2294535470755
1989,tribal,Very low,0.0,2.3462678181008734
1989,tribal,Low,0.0,0.6969311720425475
1989,tribal,Moderate,0.0,8.772538123851104
1989,tribal,High,0.0,23.13889071442249
1989,usfs,Very low,237.15290036688106,3904.6185220613875
1989,usfs,Low,53.81800031759823,996.8794651677628
1989,usfs,Moderate,324.1841140355967,6114.604243647607
1989,usfs,High,1057.623100109959,11920.893432084005
1990,blm,Very low,0.2030390014648437,212.9023763715916
1990,blm,Low,0.4793108703613281,110.91481611713483
1990,blm,Moderate,6.19644262084961,584.0877073436302
1990,blm,High,72.18988092651367,2663.6839084901576
1990,nonfed_public,Very low,0.0,62.366928397527936
1990,nonfed_public,Low,0.1253315185546875,20.708510920266544
1990,nonfed_public,Moderate,2.2461765065391393,93.60567622482002
1990,nonfed_public,High,5.156545544433595,114.31957464822207
1990,other_fed,Very low,0.0,0.0
1990,other_fed,Low,0.0,0.0
1990,other_fed,Moderate,0.1571576668772978,0.1571576668772978
1990,other_fed,High,0.0,0.0
1990,private,Very low,90.91388836736941,1968.1827587228563
1990,private,Low,44.46217685609108,696.0224745591346
1990,private,Moderate,339.85863689905506,3734.0833258564794
1990,private,High,816.037035375115,5181.950148660625
1990,tribal,Very low,0.0,0.0
1990,tribal,Low,0.0,0.0
1990,tribal,Moderate,0.0,0.0
1990,tribal,High,0.0,0.0
1990,usfs,Very low,233.59877924203914,3058.4498186414526
1990,usfs,Low,142.50964411879596,1159.4264012587364
1990,usfs,Moderate,976.6940284048044,7542.703907510126
1990,usfs,High,3239.1846661858294,23904.68694932639
1991,blm,Very low,0.8467781860351563,11.982779974556717
1991,blm,Low,0.5443559936523438,4.1856310913085935
1991,blm,Moderate,0.4233906311035156,14.8729740234375
1991,blm,High,0.0,11.263028826904296
1991,nonfed_public,Very low,0.1209693725585937,4.234999857704313
1991,nonfed_public,Low,0.0,0.4138597715130974
1991,nonfed_public,Moderate,0.6048484191894532,2.539639068412033
1991,nonfed_public,High,0.241939990234375,1.6288598103841148
1991,other_fed,Very low,0.0,0.0
1991,other_fed,Low,0.0,0.0
1991,other_fed,Moderate,0.0,0.0
1991,other_fed,High,0.0,0.0
1991,private,Very low,1.3604579461310893,17.432380878571156
1991,private,Low,0.0683541259765625,4.562144818713618
1991,private,Moderate,1.9803653049364278,32.216334768688725
1991,private,High,3.940808648681641,39.92949544074564
1991,tribal,Very low,0.0,0.0
1991,tribal,Low,0.0,0.0
1991,tribal,Moderate,0.0,0.0
1991,tribal,High,0.0,0.0
1991,usfs,Very low,12.614587108202167,96.66358008970973
1991,usfs,Low,4.36683475449506,20.915070722273285
1991,usfs,Moderate,18.935302038574218,73.33522042772479
1991,usfs,High,39.5114184753418,222.84276150673065
1992,blm,Very low,1.8119220085592829,287.31343915580004
1992,blm,Low,2.635217607350069,190.10772881555903
1992,blm,Moderate,43.925208483120784,1316.4824100841806
1992,blm,High,117.90097581899607,1704.5360946783328
1992,nonfed_public,Very low,0.5957675788191253,47.91542588663738
1992,nonfed_public,Low,0.220205102778416,32.08945907523361
1992,nonfed_public,Moderate,7.708226748645259,239.5473897649548
1992,nonfed_public,High,12.145072591672411,129.9763361475806
1992,other_fed,Very low,0.0,0.0
1992,other_fed,Low,0.0,0.0
1992,other_fed,Moderate,0.0,0.0
1992,other_fed,High,0.0,0.0
1992,private,Very low,818.0121261408551,3984.8411055100605
1992,private,Low,333.29388468156407,1630.2001784291697
1992,private,Moderate,2321.007923690545,9258.734802300904
1992,private,High,6931.748801453068,19054.751925084085
1992,tribal,Very low,2.1968902997185205,170.71315247745272
1992,tribal,Low,0.6763345642089843,66.12191432772765
1992,tribal,Moderate,2.888196598905676,231.54751410120346
1992,tribal,High,2.8619225952148435,70.45582390711168
1992,usfs,Very low,23.86240318962546,1631.461978809982
1992,usfs,Low,23.654088774461936,631.7638816352394
1992,usfs,Moderate,363.8876203249464,4408.867231209884
1992,usfs,High,3543.278301305243,11890.965946031518
1993,blm,Very low,0.0,0.0
1993,blm,Low,0.0,0.0
1993,blm,Moderate,0.0,0.0
1993,blm,High,0.0,0.0
1993,nonfed_public,Very low,0.0,0.0
1993,nonfed_public,Low,0.0,0.0
1993,nonfed_public,Moderate,0.0,0.0
1993,nonfed_public,High,0.0,0.0
1993,other_fed,Very low,0.0,0.0
1993,other_fed,Low,0.0,0.0
1993,other_fed,Moderate,0.0,0.0
1993,other_fed,High,0.0,0.0
1993,private,Very low,0.0,0.0
1993,private,Low,0.0,0.0
1993,private,Moderate,0.0,0.0
1993,private,High,0.0,0.0
1993,tribal,Very low,0.0,0.0
1993,tribal,Low,0.0,0.0
1993,tribal,Moderate,0.0,0.0
1993,tribal,High,0.0,0.0
1993,usfs,Very low,0.0,0.0
1993,usfs,Low,0.0,0.0
1993,usfs,Moderate,0.0,0.0
1993,usfs,High,0.0,0.0
1994,blm,Very low,3.3186803593893615,226.0825638449994
1994,blm,Low,0.9881235351562501,61.08128829048904
1994,blm,Moderate,8.957230383228975,296.31838698026775
1994,blm,High,83.58447602539063,572.5101347909487
1994,nonfed_public,Very low,1.930206867532169,51.37970216480929
